,trace_number,date_time,experimenter,protocol,cell_type,stim_type,V_baseline,LED_wavelenght,LED_time_ms,LED_power_mWmm,response_type_LED,spike_per_LED_stim,spike_freq_LED,subthresh_per_LED_stim,LED_voltage_resp_max_mV,total_V_deflection_from_baseline_mV,time_to_peak_v_deflection_ms,voltage_points_plot,LED_points_plot,I_inj_duration_ms,I_inj_max_value_pA,I_inj_response_type,spike_per_I_inj,I_pulse_spike_freq,I_inj_voltage_max_resp_mV,I_inj_V_deflection_total_from_base_mV,V_resp_max_delay_1st_resp_ms,V_data_points,max_V_deflection_level_mV,Max_V_response_mV,Steady_state_V_deflection_mV,Time_to_peak_response_ms,deactivation_time_ms
0,186280022_1,2018-06-28 15:06:54.913,Rig 2,C:\Users\charlotte.deleuze\Documents\Charlotte\pclamp PARAMS_charlotte\FISH_params\inhibitory_opsins\_CC_NpHR_lightSTEP,NpHR3.0,LED_pulse,-70.18126,543,1000.0,7.71,sub_thresh_event,0,,1,,-9.622215270996094,,[-70.2026 -70.1477 -70.1843 ... -70.4071 -70.4041 -70.4285],[-0.0098 -0.0098 -0.0095 ... -0.0101 -0.0098 -0.0107],,,,,,,,,,,-79.80347442626953,0.40891266,1922.5,21.867547314777877
1,186280022_1,2018-06-28 15:06:54.913,Rig 2,C:\Users\charlotte.deleuze\Documents\Charlotte\pclamp PARAMS_charlotte\FISH_params\inhibitory_opsins\_CC_NpHR_lightSTEP,NpHR3.0,LED_pulse,-70.18126,543,1000.0,13.67,sub_thresh_event,0,,1,,-11.746238708496096,,[-70.2118 -70.2087 -70.1965 ... -70.3583 -70.34   -70.3613],[-0.0104 -0.0098 -0.0104 ... -0.0098 -0.0098 -0.0098],,,,,,,,,,,-81.92749786376953,1.9592056,1770.45,24.80001497858274
2,186280022_1,2018-06-28 15:06:54.913,Rig 2,C:\Users\charlotte.deleuze\Documents\Charlotte\pclamp PARAMS_charlotte\FISH_params\inhibitory_opsins\_CC_NpHR_lightSTEP,NpHR3.0,LED_pulse,-70.18126,543,1000.0,18.72,sub_thresh_event,0,,1,,-12.606834411621096,,[-70.3674 -70.3796 -70.4041 ... -70.4834 -70.4773 -70.4895],[-0.0101 -0.0098 -0.0104 ... -0.0104 -0.0098 -0.0104],,,,,,,,,,,-82.78809356689453,0.42722319999999997,1529.05,26.39304593175265
3,186280022_1,2018-06-28 15:06:54.913,Rig 2,C:\Users\charlotte.deleuze\Documents\Charlotte\pclamp PARAMS_charlotte\FISH_params\inhibitory_opsins\_CC_NpHR_lightSTEP,NpHR3.0,LED_pulse,-70.18126,543,1000.0,23.12,sub_thresh_event,0,,1,,-12.811302185058596,,[-70.5048 -70.4712 -70.4681 ... -70.4956 -70.5109 -70.4926],[-0.0098 -0.0101 -0.0101 ... -0.0104 -0.0101 -0.0104],,,,,,,,,,,-82.99256134033203,2.2002945,1270.15,26.207173328815838
4,186280022_1,2018-06-28 15:06:54.913,Rig 2,C:\Users\charlotte.deleuze\Documents\Charlotte\pclamp PARAMS_charlotte\FISH_params\inhibitory_opsins\_CC_NpHR_lightSTEP,NpHR3.0,LED_pulse,-70.18126,543,1000.0,26.98,sub_thresh_event,0,,1,,-12.640403747558596,,[-70.578  -70.5658 -70.5658 ... -70.5963 -70.5841 -70.5902],[-0.0098 -0.0104 -0.0101 ... -0.0098 -0.0101 -0.0101],,,,,,,,,,,-82.82166290283203,0.11289215,1350.25,21.77617457963881
5,186280022_1,2018-06-28 15:06:54.913,Rig 2,C:\Users\charlotte.deleuze\Documents\Charlotte\pclamp PARAMS_charlotte\FISH_params\inhibitory_opsins\_CC_NpHR_lightSTEP,NpHR3.0,LED_pulse,-70.18126,543,1000.0,30.33,sub_thresh_event,0,,1,,-12.408470153808596,,[-70.5017 -70.4529 -70.4346 ... -70.6055 -70.6177 -70.639 ],[-0.0098 -0.0101 -0.0098 ... -0.0092 -0.0104 -0.0101],,,,,,,,,,,-82.58972930908203,0.5798111,1327.6,26.38866614119511
0,2019_02_25_0035,2019-02-25 15:35:56.708000,Rig 1,C:\Users\a.administrateur\Desktop\Adna prot\opsin test\inhibitory opsin\5 CC_520_shutter_open_photocurrent,GtACR1,LED_pulse,-65.18797302246094,520,1000.0,2.91,Spike,2,512.8205128205129,0,,102.96873474121094,,[-65.033  -65.4907 -64.9719 ... -64.1785 -63.8123 -64.1174],[-0.0009 -0.0009 -0.0012 ... -0.0015 -0.0015 -0.0012],,,,,,,,,,,37.78076171875,17.672103881835938,1.4,200.7472316999952
1,2019_02_25_0035,2019-02-25 15:35:56.708000,Rig 1,C:\Users\a.administrateur\Desktop\Adna prot\opsin test\inhibitory opsin\5 CC_520_shutter_open_photocurrent,GtACR1,LED_pulse,-65.18797302246094,520,1000.0,10.58,sub_thresh_event,0,,1,,28.811019897460938,,[-64.9414 -65.0024 -64.9719 ... -63.9954 -64.1785 -64.1174],[-0.0006 -0.0009 -0.0012 ... -0.0009 -0.0015 -0.0015],,,,,,,,,,,-36.376953125,17.763656616210938,15.25,179.18373846665318
2,2019_02_25_0035,2019-02-25 15:35:56.708000,Rig 1,C:\Users\a.administrateur\Desktop\Adna prot\opsin test\inhibitory opsin\5 CC_520_shutter_open_photocurrent,GtACR1,LED_pulse,-65.18797302246094,520,1000.0,19.77,Spike,1,,0,,96.86521911621094,,[-65.033  -65.1245 -65.3381 ... -64.0869 -63.9954 -63.8123],[-0.0012 -0.0012 -0.0015 ... -0.0009 -0.0012 -0.0015],,,,,,,,,,,31.67724609375,17.458480834960938,2.9,177.30225609212266
3,2019_02_25_0035,2019-02-25 15:35:56.708000,Rig 1,C:\Users\a.administrateur\Desktop\Adna prot\opsin test\inhibitory opsin\5 CC_520_shutter_open_photocurrent,GtACR1,LED_pulse,-65.18797302246094,520,1000.0,29.07,Spike,1,,0,,93.44725036621094,,[-65.155  -64.9719 -65.094  ... -64.3921 -64.6057 -64.3311],[-0.0015 -0.0009 -0.0006 ... -0.0012 -0.0015 -0.0015],,,,,,,,,,,28.25927734375,17.397445678710938,2.2,165.4450176907998
